Num_2017_0,Num_2017_1,Num_2017_2,Num_2017_3,Num_2017_4,Num_2017_5,Num_2017_6,Num_2017_7,Num_2017_8,Num_2017_9,Num_2017_10,Num_2017_11,Num_2017_12,Num_2017_13,Num_2017_14,Num_2017_15,Num_2017_16,Num_2017_17,Num_2017_18,Num_2017_19,Num_2017_20,F_2017_0,F_2017_1,F_2017_2,F_2017_3,F_2017_4,F_2017_5,F_2017_6,F_2017_7,F_2017_8,F_2017_9,F_2017_10,F_2017_11,F_2017_12,F_2017_13,F_2017_14,F_2017_15,F_2017_16,F_2017_17,F_2017_18,F_2017_19,Bsp_1982,Bsp_2001,Bsp_2016,Rec_1982,Rec_2001,Bloss
4149870,4604570,2666170,3560700,580951,1186770,282738,281532,269596,976213,269922,171137,139067,136262,64371.2,74638.1,488042,54936.9,42350.9,27526,109110,0.001414,0.012108,0.022531,0.033991,0.044428,0.052697,0.058585,0.062443,0.06482,0.066227,0.067043,0.067517,0.067795,0.067962,0.068066,0.068131,0.068175,0.068204,0.068224,0.068256,2550850,1395210,1154150,56244800,19213900,1144300
3421500,4126460,2559640,2518300,407068,1241050,191648,275050,187044,1067420,212873,100594,80854.9,126916,59288.1,54123.6,352455,47132.3,35652.2,20289.6,87292.6,0.00148000000000001,0.013092,0.026828,0.042554,0.056819,0.067676,0.074875,0.079163,0.081534,0.08279,0.083446,0.083792,0.083979,0.084084,0.084145,0.084182,0.084205,0.08422,0.08423,0.084246,2265510,1337720,969221,44885700,17125400,941635
4472330,2894220,2130300,2437200,611609,1184430,170294,299552,274690,957313,353002,160911,145643,163347,98138.9,89526.1,593939,71853.5,80684.6,41875.9,232405,0.00101600000000002,0.01053,0.023707,0.03654,0.045395,0.050163,0.05233,0.053233,0.053605,0.053765,0.053838,0.053874,0.053894,0.053905,0.053911,0.053916,0.053918,0.05392,0.053922,0.053924,2860290,2132580,1464570,49697100,17214400,1417280
3990450,2012520,1562720,1645340,399793,776919,74509.7,145165,127680,526660,143982,55245.7,52071.8,59050.2,28667.5,29948,182408,20808.2,18053.6,14142.5,42875.4,0.00265100000000001,0.026239,0.053811,0.083498,0.108259,0.125297,0.135382,0.140726,0.143375,0.144655,0.145279,0.145593,0.145757,0.145848,0.1459,0.145932,0.145952,0.145965,0.145974,0.145987,2285650,1217790,562439,52801600,15276800,529257
4075960,2830850,2366310,2398160,513169,838776,165670,308200,246808,916433,317712,83404.7,114078,115651,76482.9,66536.2,432359,43211.7,58840.9,34864.2,125149,0.002305,0.014967,0.030099,0.045421,0.057407,0.0652,0.069631,0.071937,0.073086,0.073656,0.073946,0.074099,0.074184,0.074234,0.074264,0.074284,0.074297,0.074305,0.074312,0.074321,2629610,1563740,1077220,54379200,17159800,1028920
3887160,2884030,1836170,2315470,332309,1032220,88977.9,171573,191567,802915,196118,87629.5,51885.8,82707.9,43791.4,35588.7,303245,26909.7,35162,18741,69861.2,0.001856,0.018916,0.038466,0.060279,0.079002,0.09194,0.099339,0.102929,0.104458,0.105054,0.105275,0.105357,0.105387,0.1054,0.105405,0.105407,0.105408,0.105408,0.105409,0.105409,2271040,1268930,758000,54736200,18057000,724013
10828000,4319700,2428190,1870170,434095,1079480,131099,142581,210184,694787,184575,77380.7,80500,73308.9,47015.1,44453,250470,31902.2,27605.9,15175.2,62397.6,0.00187400000000001,0.020212,0.03819,0.057908,0.075457,0.088717,0.097482,0.102679,0.10552,0.106994,0.107742,0.108121,0.108317,0.108421,0.108478,0.108511,0.108531,0.108543,0.108551,0.108563,2330470,1270240,725779,49412300,15976800,700058
7967330,3372240,2538530,2077370,555203,1207440,100309,162796,203019,966620,277355,95422.3,66456.2,131620,64548.7,61018,419082,45212.5,39306.3,32574.8,121307,0.001336,0.012003,0.026518,0.041874,0.054168,0.062371,0.067215,0.069865,0.071265,0.072004,0.072404,0.07263,0.072762,0.072844,0.072896,0.072931,0.072955,0.072971,0.072983,0.073001,2069340,1577400,1087440,48024000,16447600,1061460
3323010,2841670,1350960,2943320,459469,942323,120299,236440,240085,812334,184251,80402.3,85500.2,116269,39959.9,38355.7,275679,26804.1,27349.1,17875.7,58396,0.00197900000000001,0.016559,0.032285,0.050367,0.067427,0.081336,0.091484,0.098292,0.102593,0.105211,0.10678,0.107722,0.108294,0.108649,0.108876,0.109025,0.109125,0.109194,0.109243,0.10932,1928400,1233260,767946,50804900,17104700,745406
5056300,2308420,2197420,1633770,378285,1087080,85465,173561,157118,583501,169187,50554.4,53042.8,45245.8,31950.2,24425.2,154886,15581.7,13382.2,8189.12,28374.7,0.00268300000000002,0.026885,0.049123,0.07374,0.096517,0.114894,0.128185,0.136976,0.142401,0.145594,0.147426,0.148471,0.149073,0.149427,0.14964,0.149773,0.149858,0.149915,0.149953,0.15001,2210360,1046700,556290,52190600,16247700,535157
5561600,2406660,2008710,2541400,371478,982762,115484,270206,226259,827015,286301,102139,99945.9,101318,65086.8,73454.3,377003,35179.6,29832.1,23678.6,100615,0.001583,0.014961,0.030943,0.04822,0.062689,0.072723,0.07874,0.081986,0.083627,0.084436,0.084838,0.085043,0.085153,0.085214,0.085251,0.085273,0.085287,0.085296,0.085303,0.085313,2231670,1437850,951589,49212700,17362500,911829
3795720,4390830,2235240,2926510,531442,1021110,144715,163118,159372,498170,98189,56294.2,41968.3,44238.8,21603.1,16530.8,91024.2,9595.18,7486.57,4528.22,8346.92,0.004104,0.030804,0.05207,0.075774,0.098796,0.118885,0.134981,0.146999,0.155461,0.161141,0.16482,0.167147,0.168602,0.169511,0.170083,0.170448,0.170686,0.170843,0.17095,0.171099,2099580,695200,439266,47909700,17381100,439266
5439360,2895050,2346450,2066840,441912,961185,163826,223983,251215,1079260,309294,109342,115565,138896,72715.5,64212.2,511959,77665.9,53121.6,45169.9,189307,0.00128400000000001,0.013308,0.028599,0.043479,0.053759,0.059211,0.061579,0.062486,0.062816,0.062938,0.062984,0.063004,0.063013,0.063017,0.063019,0.063021,0.063021,0.063022,0.063022,0.063023,2672880,1886410,1262300,52655700,16941200,1198230
8850670,3340440,1620720,2070690,482693,905843,140627,175821,173885,479685,128376,48040.2,50019,61031,21157.3,24115.8,140352,11129.8,11752.7,9201.01,19160.9,0.00223400000000001,0.023357,0.046324,0.073228,0.098986,0.120205,0.135779,0.146235,0.152812,0.156781,0.159129,0.160517,0.161347,0.161854,0.162171,0.162376,0.162512,0.162605,0.162671,0.162764,2270410,911181,510846,49619700,16649600,497572
6120330,3506750,2583510,3060800,542796,1783590,258313,318676,305702,1098270,265934,120384,112951,215464,101396,111324,623088,80784.8,74205.4,47098.1,242630,0.000907000000000019,0.00939600000000002,0.020407,0.031283,0.03921,0.043882,0.046262,0.047384,0.047905,0.048155,0.048281,0.048349,0.048387,0.048411,0.048425,0.048435,0.048442,0.048446,0.04845,0.048455,2927470,2124840,1578770,50095500,17580500,1569560
4148350,2440540,2047960,1564820,330745,897357,172567,200014,169423,753256,264002,88150.3,77336.4,90617.1,101924,60206.7,414316,41298,43585.3,23560.7,150776,0.002193,0.015855,0.032089,0.048611,0.061721,0.070489,0.075687,0.07854,0.080048,0.080843,0.081272,0.081513,0.081653,0.08174,0.081794,0.081831,0.081856,0.081873,0.081886,0.081906,2755140,1913340,1028240,54473000,15978200,965116
10726800,5487850,2105070,2368620,660360,999646,193520,333186,263258,754110,244371,91807.3,86456,101418,57912.4,73563.7,332429,46382,49966.3,26674.2,90473.2,0.00165699999999999,0.014769,0.029272,0.045112,0.058967,0.069284,0.076096,0.080225,0.082598,0.083931,0.084683,0.085114,0.085369,0.085525,0.085624,0.085689,0.085733,0.085763,0.085785,0.085819,2305580,1365740,929192,48569200,15824800,907815
5440480,3365820,2096020,3126280,546029,1211700,86932.9,174830,212928,867919,267190,85513.2,95558,111322,56026.6,51922.8,362373,37965.5,43136.1,30021.2,85067.6,0.00106100000000001,0.011952,0.025642,0.04156,0.056192,0.067616,0.075553,0.080631,0.083713,0.085539,0.086619,0.087269,0.08767,0.087924,0.088091,0.088204,0.088283,0.088339,0.088379,0.08844,2069430,1384910,924583,55567000,17122000,914843
8530710,2608210,2253880,1761980,413796,1266210,111013,320690,145599,983003,257617,95689.5,105659,131987,70058.1,52892,510686,59311.4,50529.5,40684,162789,0.001114,0.011605,0.027022,0.04321,0.055338,0.062456,0.065956,0.067498,0.068151,0.068431,0.068556,0.068617,0.068648,0.068665,0.068675,0.068681,0.068685,0.068688,0.06869,0.068692,2700090,1810830,1189960,49263900,17852700,1139170
6993600,4000560,2335940,2653020,677862,1089930,182708,255118,302013,789543,236601,104844,98112.9,105381,64455.8,57029.1,327215,38156,29244.1,26086.1,67160.1,0.00155,0.014005,0.028658,0.045061,0.059723,0.070913,0.078545,0.083361,0.086263,0.087978,0.088995,0.089608,0.089988,0.09023,0.09039,0.090498,0.090573,0.090627,0.090667,0.090726,1980320,1214010,885351,51950600,17296900,873234
4911670,2983140,2168810,2184250,444460,1075320,178894,267030,309523,893316,324512,135484,117224,153856,71005.3,66771.5,421767,49777.9,49473.7,28574,146877,0.00126300000000001,0.012987,0.027226,0.042079,0.053884,0.061574,0.065879,0.068052,0.069094,0.069592,0.069835,0.06996,0.070028,0.070067,0.07009,0.070105,0.070114,0.070121,0.070126,0.070132,2290800,1731050,1162630,49583900,15872300,1115250
7409490,4405930,2886190,1847930,502095,1059370,132408,180331,187283,534060,106225,61455.6,46886.3,48932,22951.6,17158.8,132265,13120.5,12875.3,7874.39,17305.9,0.002688,0.02903,0.053009,0.079553,0.103809,0.12278,0.135793,0.143791,0.148303,0.150703,0.151938,0.152568,0.152892,0.153062,0.153153,0.153205,0.153235,0.153253,0.153264,0.153279,2081270,830669,486588,55845200,17952600,476563
6522190,2542930,1202690,1742810,314335,818827,78138,155998,158398,479116,144527,49546.5,45386.6,54528.5,22967.1,21906.3,166238,15225.1,14455.3,9006.63,31543.3,0.00286800000000001,0.027616,0.052165,0.079903,0.105926,0.127202,0.142859,0.153469,0.160223,0.164343,0.166801,0.168259,0.169132,0.169665,0.169998,0.170212,0.170353,0.170449,0.170517,0.17062,1961940,1138450,517213,53344500,16679600,484069
